Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,1.928e-05,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
-1.8800e-07,-0.00871875,-0.0434375
-1.8400e-07,-0.00875,-0.0425
-1.8000e-07,-0.0084375,-0.0425
-1.7600e-07,-0.00825,-0.04375
-1.7200e-07,-0.00915625,-0.0453125
-1.6800e-07,-0.0088125,-0.0459375
-1.6400e-07,-0.00915625,-0.045
-1.6000e-07,-0.00825,-0.0395313
-1.5600e-07,-0.0081875,-0.0417188
-1.5200e-07,-0.00921875,-0.0453125
-1.4800e-07,-0.00890625,-0.0407813
-1.4400e-07,-0.00871875,-0.0457813
-1.4000e-07,-0.00865625,-0.0409375
-1.3600e-07,-0.00946875,-0.046875
-1.3200e-07,-0.009,-0.0432813
-1.2800e-07,-0.0078125,-0.0409375
-1.2400e-07,-0.00809375,-0.0414063
-1.2000e-07,-0.0081875,-0.0429688
-1.1600e-07,-0.00821875,-0.0428125
-1.1200e-07,-0.00940625,-0.0465625
-1.0800e-07,-0.00871875,-0.044375
-1.0400e-07,-0.0076875,-0.0373438
-1.0000e-07,-0.00925,-0.0470312
-9.6000e-08,-0.00890625,-0.0440625
-9.2000e-08,-0.0095,-0.0453125
-8.8000e-08,-0.00890625,-0.0428125
-8.4000e-08,-0.00840625,-0.04125
-8.0000e-08,-0.0085625,-0.043125
-7.6000e-08,-0.00896875,-0.0457813
-7.2000e-08,-0.0086875,-0.0435937
-6.8000e-08,-0.00846875,-0.0410937
-6.4000e-08,-0.00934375,-0.0457813
-6.0000e-08,-0.00853125,-0.0439063
-5.6000e-08,-0.00809375,-0.0420312
-5.2000e-08,-0.0085,-0.04125
-4.8000e-08,-0.00821875,-0.0410937
-4.4000e-08,-0.00871875,-0.0465625
-4.0000e-08,-0.0093125,-0.0451563
-3.6000e-08,-0.0089375,-0.0428125
-3.2000e-08,-0.00834375,-0.0396875
-2.8000e-08,-0.0081875,-0.0417188
-2.4000e-08,-0.00859375,-0.0459375
-2.0000e-08,-0.00884375,-0.0421875
-1.6000e-08,-0.008875,-0.0434375
-1.2000e-08,-0.009375,-0.0301563
-8.0000e-09,-0.00934375,-0.00375
-4.0000e-09,-0.00903125,0.290781
-0.0000e+00,-0.00834375,3.06453
4.0000e-09,-0.00796875,3.44859
8.0000e-09,-0.008625,3.43047
1.2000e-08,-0.00859375,3.44625
1.6000e-08,-0.00915625,3.46188
2.0000e-08,-0.0089375,3.46109
2.4000e-08,-0.0081875,3.46047
2.8000e-08,-0.009375,3.45703
3.2000e-08,-0.00909375,3.45453
3.6000e-08,-0.009375,3.45422
4.0000e-08,-0.0089375,3.45219
4.4000e-08,-0.00840625,3.45297
4.8000e-08,-0.00940625,3.44984
