# time (microsecs), Volts
9.23680000,-0.00285156
9.23760008,-0.00276562
9.23840016,-0.00282812
9.23920024,-0.00273438
9.24000032,-0.00288281
9.24080040,-0.00266406
9.24160048,-0.00297656
9.24240056,-0.00289062
9.24320064,-0.00292969
9.24400072,-0.00273438
9.24480080,-0.00283594
9.24560088,-0.00270313
9.24640096,-0.00286719
9.24720104,-0.00279687
9.24800112,-0.00284375
9.24880120,-0.00289844
9.24960128,-0.00296094
9.25040136,-0.00278125
9.25120144,-0.00288281
9.25200152,-0.00267969
9.25280160,-0.00262500
9.25360168,-0.00292187
9.25440176,-0.00284375
9.25520184,-0.00281250
9.25600192,-0.00286719
9.25680200,-0.00285937
9.25760208,-0.00269531
9.25840216,-0.00282031
9.25920224,-0.00285156
9.26000232,-0.00285156
9.26080240,-0.00271875
9.26160248,-0.00285156
9.26240256,-0.00275781
9.26320264,-0.00273438
9.26400272,-0.00273438
9.26480280,-0.00267188
9.26560288,-0.00278906
9.26640296,-0.00264844
9.26720304,-0.00278906
9.26800312,-0.00259375
9.26880320,-0.00292969
9.26960328,-0.00262500
9.27040336,-0.00284375
9.27120344,-0.00266406
9.27200352,-0.00272656
9.27280360,-0.00261719
9.27360368,-0.00282031
9.27440376,-0.00279687
9.27520384,-0.00280469
9.27600392,-0.00278125
9.27680400,-0.00269531
9.27760408,-0.00259375
9.27840416,-0.00251563
9.27920424,-0.00283594
9.28000432,-0.00275000
9.28080440,-0.00261719
9.28160448,-0.00275781
9.28240456,-0.00271875
9.28320464,-0.00250781
9.28400472,-0.00268750
9.28480480,-0.00275000
9.28560488,-0.00272656
9.28640496,-0.00265625
9.28720504,-0.00266406
9.28800512,-0.00262500
9.28880520,-0.00263281
9.28960528,-0.00255469
9.29040536,-0.00265625
9.29120544,-0.00260938
9.29200552,-0.00257813
9.29280560,-0.00273438
9.29360568,-0.00266406
9.29440576,-0.00275000
9.29520584,-0.00254688
9.29600592,-0.00283594
9.29680600,-0.00271094
9.29760608,-0.00264844
9.29840616,-0.00251563
9.29920624,-0.00276562
9.30000632,-0.00271094
9.30080640,-0.00275000
9.30160648,-0.00274219
9.30240656,-0.00272656
9.30320664,-0.00264063
9.30400672,-0.00247656
9.30480680,-0.00283594
9.30560688,-0.00279687
9.30640696,-0.00269531
9.30720704,-0.00273438
9.30800712,-0.00279687
9.30880720,-0.00263281
9.30960728,-0.00271094
9.31040736,-0.00263281
9.31120744,-0.00266406
9.31200752,-0.00250781
9.31280760,-0.00264844
9.31360768,-0.00270313
9.31440776,-0.00267969
9.31520784,-0.00255469
9.31600792,-0.00264844
9.31680800,-0.00272656
9.31760808,-0.00252344
9.31840816,-0.00277344
