Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-05,
Horizontal Delay,4.84e-05,
Sample Interval,1e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.05,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
-2.9000e-07,-0.00309375,-0.0523437
-2.8000e-07,-0.00328125,-0.0507812
-2.7000e-07,-0.00339844,-0.048125
-2.6000e-07,-0.00326562,-0.0485938
-2.5000e-07,-0.00335937,-0.0503125
-2.4000e-07,-0.00317969,-0.0504687
-2.3000e-07,-0.00336719,-0.0492188
-2.2000e-07,-0.00338281,-0.0501563
-2.1000e-07,-0.00320313,-0.050625
-2.0000e-07,-0.00314063,-0.0473438
-1.9000e-07,-0.00325781,-0.0490625
-1.8000e-07,-0.00328125,-0.0523437
-1.7000e-07,-0.00320313,-0.0478125
-1.6000e-07,-0.00325,-0.049375
-1.5000e-07,-0.0030625,-0.0496875
-1.4000e-07,-0.00320313,-0.0528125
-1.3000e-07,-0.00321094,-0.0507812
-1.2000e-07,-0.00325781,-0.045
-1.1000e-07,-0.00314063,-0.0546875
-1.0000e-07,-0.00339062,-0.0523437
-9.0000e-08,-0.00341406,-0.0484375
-8.0000e-08,-0.00321875,-0.0534375
-7.0000e-08,-0.00334375,-0.0504687
-6.0000e-08,-0.00307031,-0.048125
-5.0000e-08,-0.00338281,-0.0528125
-4.0000e-08,-0.00321875,-0.0498437
-3.0000e-08,-0.003125,-0.0501563
-2.0000e-08,-0.00314844,-0.0459375
-1.0000e-08,-0.00314844,0.101406
-0.0000e+00,-0.00340625,3.32609
1.0000e-08,-0.0030625,3.46625
2.0000e-08,-0.00325781,3.47391
3.0000e-08,-0.0030625,3.46844
4.0000e-08,-0.00346094,3.46078
5.0000e-08,-0.00419531,3.45938
6.0000e-08,-0.003125,3.45688
7.0000e-08,-0.000421875,3.45063
8.0000e-08,0.00130469,3.45266
9.0000e-08,-0.00391406,3.44875
1.0000e-07,-0.000125,3.44375
1.1000e-07,-0.00383594,3.44641
1.2000e-07,-0.00524219,3.44859
1.3000e-07,-0.00466406,3.44594
1.4000e-07,-0.00464062,3.43938
1.5000e-07,-0.00533594,3.44062
1.6000e-07,-0.0055,3.43641
1.7000e-07,-0.00505469,3.43781
1.8000e-07,-0.00455469,3.43813
1.9000e-07,-0.00450781,3.4375
2.0000e-07,-0.00421875,3.44062
2.1000e-07,-0.00385156,3.43906
2.2000e-07,-0.00346094,3.43859
2.3000e-07,-0.00360938,3.43703
2.4000e-07,-0.00339844,3.42938
2.5000e-07,-0.00309375,3.43375
2.6000e-07,-0.00288281,3.43891
2.7000e-07,-0.00288281,3.43063
2.8000e-07,-0.0029375,3.43469
2.9000e-07,-0.00283594,3.4325
3.0000e-07,-0.0029375,3.43438
3.1000e-07,-0.00307031,3.43641
3.2000e-07,-0.00321875,3.43344
3.3000e-07,-0.00304688,3.43391
3.4000e-07,-0.003375,3.43625
3.5000e-07,-0.00329687,3.43672
3.6000e-07,-0.00355469,3.43375
3.7000e-07,-0.00354688,3.43594
3.8000e-07,-0.00349219,3.43672
3.9000e-07,-0.00371094,3.43703
4.0000e-07,-0.00326562,3.43656
4.1000e-07,-0.00313281,3.43422
4.2000e-07,-0.00320313,3.43422
4.3000e-07,-0.00313281,3.43344
4.4000e-07,-0.00303906,3.44016
4.5000e-07,-0.00278906,3.43828
4.6000e-07,-0.00290625,3.43844
4.7000e-07,-0.00298438,3.43781
4.8000e-07,-0.00289844,3.43562
4.9000e-07,-0.00282031,3.43969
5.0000e-07,-0.00288281,3.43063
5.1000e-07,-0.00285937,3.43594
5.2000e-07,-0.00283594,3.43844
5.3000e-07,-0.00305469,3.44031
5.4000e-07,-0.0030625,3.44047
