# time (microsecs), Volts
9.59280000,-0.00332031
9.59360008,-0.00310938
9.59440016,-0.00317969
9.59520024,-0.00311719
9.59600032,-0.00321875
9.59680040,-0.00349219
9.59760048,-0.00317188
9.59840056,-0.00337500
9.59920064,-0.00322656
9.60000072,-0.00311719
9.60080080,-0.00314844
9.60160088,-0.00322656
9.60240096,-0.00317969
9.60320104,-0.00328125
9.60400112,-0.00331250
9.60480120,-0.00319531
9.60560128,-0.00312500
9.60640136,-0.00307813
9.60720144,-0.00326562
9.60800152,-0.00321875
9.60880160,-0.00321875
9.60960168,-0.00311719
9.61040176,-0.00328125
9.61120184,-0.00334375
9.61200192,-0.00322656
9.61280200,-0.00325000
9.61360208,-0.00307031
9.61440216,-0.00329687
9.61520224,-0.00332812
9.61600232,-0.00310938
9.61680240,-0.00317188
9.61760248,-0.00317188
9.61840256,-0.00329687
9.61920264,-0.00320313
9.62000272,-0.00318750
9.62080280,-0.00303125
9.62160288,-0.00327344
9.62240296,-0.00325000
9.62320304,-0.00314844
9.62400312,-0.00330469
9.62480320,-0.00323438
9.62560328,-0.00317969
9.62640336,-0.00320313
9.62720344,-0.00320313
9.62800352,-0.00315625
9.62880360,-0.00342188
9.62960368,-0.00339062
9.63040376,-0.00314063
9.63120384,-0.00323438
9.63200392,-0.00317188
9.63280400,-0.00321875
9.63360408,-0.00324219
9.63440416,-0.00328906
9.63520424,-0.00313281
9.63600432,-0.00343750
9.63680440,-0.00325000
9.63760448,-0.00323438
9.63840456,-0.00335156
9.63920464,-0.00315625
9.64000472,-0.00332812
9.64080480,-0.00326562
9.64160488,-0.00325781
9.64240496,-0.00309375
9.64320504,-0.00315625
9.64400512,-0.00331250
9.64480520,-0.00315625
9.64560528,-0.00317188
9.64640536,-0.00321094
9.64720544,-0.00330469
9.64800552,-0.00339062
9.64880560,-0.00316406
9.64960568,-0.00332812
9.65040576,-0.00324219
9.65120584,-0.00322656
9.65200592,-0.00320313
9.65280600,-0.00318750
9.65360608,-0.00314844
9.65440616,-0.00334375
9.65520624,-0.00337500
9.65600632,-0.00320313
9.65680640,-0.00323438
9.65760648,-0.00314844
9.65840656,-0.00309375
9.65920664,-0.00327344
9.66000672,-0.00332031
9.66080680,-0.00316406
9.66160688,-0.00339062
9.66240696,-0.00330469
9.66320704,-0.00335156
9.66400712,-0.00329687
9.66480720,-0.00318750
9.66560728,-0.00332812
9.66640736,-0.00320313
9.66720744,-0.00317188
9.66800752,-0.00310156
9.66880760,-0.00312500
9.66960768,-0.00324219
9.67040776,-0.00312500
9.67120784,-0.00320313
9.67200792,-0.00314844
9.67280800,-0.00318750
9.67360808,-0.00352344
9.67440816,-0.00325781
9.67520824,-0.00325000
9.67600832,-0.00322656
