# time (microsecs), Volts
7.12000000,-0.00048125
7.12400040,-0.00042187
7.12800080,-0.00037813
7.13200120,-0.00037344
7.13600160,-0.00035000
7.14000200,-0.00041875
7.14400240,-0.00040469
7.14800280,-0.00048906
7.15200320,-0.00058594
7.15600360,-0.00062969
7.16000400,-0.00080313
7.16400440,-0.00083594
7.16800480,-0.00097969
7.17200520,-0.00108125
7.17600560,-0.00119844
7.18000600,-0.00124531
7.18400640,-0.00135000
7.18800680,-0.00141406
7.19200720,-0.00149062
7.19600760,-0.00160625
7.20000800,-0.00161563
7.20400840,-0.00177969
7.20800880,-0.00176406
7.21200920,-0.00174531
7.21600960,-0.00175313
7.22001000,-0.00172969
7.22401040,-0.00161250
7.22801080,-0.00162188
7.23201120,-0.00153281
7.23601160,-0.00139844
7.24001200,-0.00128125
7.24401240,-0.00118438
7.24801280,-0.00111563
7.25201320,-0.00100469
7.25601360,-0.00080781
7.26001400,-0.00067500
7.26401440,-0.00057188
7.26801480,-0.00043125
7.27201520,-0.00030469
7.27601560,-0.00020156
7.28001600,-0.00006406
7.28401640,0.00004219
7.28801680,0.00008594
7.29201720,0.00013594
7.29601760,0.00020000
7.30001800,0.00021406
7.30401840,0.00017656
7.30801880,0.00015625
7.31201920,0.00010781
7.31601960,0.00001094
7.32002000,-0.00010312
7.32402040,-0.00023750
7.32802080,-0.00037500
7.33202120,-0.00056563
7.33602160,-0.00070469
7.34002200,-0.00088438
7.34402240,-0.00110625
7.34802280,-0.00124688
7.35202320,-0.00135000
7.35602360,-0.00156406
7.36002400,-0.00166563
7.36402440,-0.00178125
7.36802480,-0.00180938
7.37202520,-0.00185313
7.37602560,-0.00188281
7.38002600,-0.00178594
7.38402640,-0.00168750
7.38802680,-0.00159844
7.39202720,-0.00144844
7.39602760,-0.00127812
7.40002800,-0.00114531
7.40402840,-0.00096719
7.40802880,-0.00074063
7.41202920,-0.00049531
7.41602960,-0.00030469
7.42003000,-0.00006563
7.42403040,0.00018594
7.42803080,0.00044219
7.43203120,0.00063594
7.43603160,0.00077813
7.44003200,0.00089687
7.44403240,0.00091719
7.44803280,0.00095000
7.45203320,0.00087344
7.45603360,0.00082813
7.46003400,0.00074063
7.46403440,0.00060000
7.46803480,0.00044531
7.47203520,0.00024531
7.47603560,0.00009375
7.48003600,-0.00002344
7.48403640,-0.00028906
7.48803680,-0.00051875
7.49203720,-0.00081406
7.49603760,-0.00102812
7.50003800,-0.00127812
7.50403840,-0.00151875
7.50803880,-0.00176563
7.51203920,-0.00189219
7.51603960,-0.00201406
7.52004000,-0.00214844
7.52404040,-0.00218438
7.52804080,-0.00221250
7.53204120,-0.00223281
7.53604160,-0.00220781
7.54004200,-0.00215313
7.54404240,-0.00208906
7.54804280,-0.00197969
7.55204320,-0.00182500
7.55604360,-0.00159844
7.56004400,-0.00141094
7.56404440,-0.00117969
7.56804480,-0.00097656
7.57204520,-0.00069219
7.57604560,-0.00050781
7.58004600,-0.00030625
7.58404640,-0.00010000
7.58804680,0.00003125
7.59204720,0.00013750
7.59604760,0.00032500
7.60004800,0.00038281
7.60404840,0.00051875
7.60804880,0.00057969
7.61204920,0.00059375
7.61604960,0.00057500
7.62005001,0.00049531
7.62405041,0.00043750
