# time (microsecs), Volts
8.89600000,-0.00295703
8.90000040,-0.00295703
8.90400080,-0.00291094
8.90800120,-0.00287656
8.91200160,-0.00284063
8.91600200,-0.00279219
8.92000240,-0.00276016
8.92400280,-0.00274453
8.92800320,-0.00269531
8.93200360,-0.00264375
8.93600400,-0.00261953
8.94000440,-0.00258047
8.94400480,-0.00253047
8.94800520,-0.00252891
8.95200560,-0.00249297
8.95600600,-0.00247109
8.96000640,-0.00248516
8.96400680,-0.00245156
8.96800720,-0.00243906
8.97200760,-0.00242969
8.97600800,-0.00239766
8.98000840,-0.00238516
8.98400880,-0.00237266
8.98800920,-0.00235547
8.99200960,-0.00232422
8.99601000,-0.00230625
9.00001040,-0.00227344
9.00401080,-0.00225703
9.00801120,-0.00220781
9.01201160,-0.00216406
9.01601200,-0.00211719
9.02001240,-0.00208594
9.02401280,-0.00204062
9.02801320,-0.00197734
9.03201360,-0.00192188
9.03601400,-0.00185625
9.04001440,-0.00180234
9.04401480,-0.00177344
9.04801520,-0.00168516
9.05201560,-0.00163047
9.05601600,-0.00154063
9.06001640,-0.00147500
9.06401680,-0.00143984
9.06801720,-0.00136875
9.07201760,-0.00128438
9.07601800,-0.00122188
9.08001840,-0.00119922
9.08401880,-0.00112109
9.08801920,-0.00107188
9.09201960,-0.00102266
9.09602000,-0.00098125
9.10002040,-0.00092969
9.10402080,-0.00086719
9.10802120,-0.00081719
9.11202160,-0.00078516
9.11602200,-0.00075625
9.12002240,-0.00071719
9.12402280,-0.00069063
9.12802320,-0.00064687
9.13202360,-0.00063281
9.13602400,-0.00061563
9.14002440,-0.00057266
9.14402480,-0.00053359
9.14802520,-0.00050078
9.15202560,-0.00049141
9.15602600,-0.00042578
9.16002640,-0.00038672
9.16402680,-0.00033672
9.16802720,-0.00030234
9.17202760,-0.00025000
9.17602800,-0.00022031
9.18002840,-0.00019688
9.18402880,-0.00012969
9.18802920,-0.00006797
9.19202960,-0.00002656
9.19603000,0.00003203
9.20003040,0.00010781
9.20403080,0.00015703
9.20803120,0.00021719
9.21203160,0.00028906
9.21603200,0.00033906
9.22003240,0.00037656
9.22403280,0.00043359
9.22803320,0.00046484
9.23203360,0.00048359
9.23603400,0.00052578
9.24003440,0.00055391
9.24403480,0.00059766
9.24803520,0.00057109
9.25203560,0.00057891
9.25603600,0.00062344
9.26003640,0.00060781
9.26403680,0.00059766
9.26803720,0.00059063
9.27203760,0.00060234
9.27603800,0.00061016
9.28003840,0.00059297
9.28403880,0.00057344
9.28803920,0.00058750
9.29203960,0.00056797
9.29604000,0.00057734
9.30004040,0.00059609
9.30404080,0.00059531
9.30804120,0.00060391
9.31204160,0.00062266
9.31604200,0.00062344
9.32004240,0.00064063
9.32404280,0.00065156
9.32804320,0.00068672
9.33204360,0.00068516
9.33604400,0.00071563
9.34004440,0.00074531
9.34404480,0.00075859
9.34804520,0.00076172
9.35204560,0.00076406
9.35604600,0.00079922
9.36004640,0.00081328
9.36404680,0.00083125
9.36804720,0.00084922
9.37204760,0.00081406
9.37604800,0.00081406
9.38004840,0.00082422
9.38404880,0.00083984
9.38804920,0.00078906
9.39204960,0.00077891
9.39605001,0.00076016
9.40005041,0.00075547
9.40405081,0.00072891
9.40805121,0.00068828
9.41205161,0.00065156
9.41605201,0.00061563
9.42005241,0.00059844
9.42405281,0.00056250
9.42805321,0.00056797
9.43205361,0.00049063
9.43605401,0.00048906
9.44005441,0.00048281
9.44405481,0.00043359
9.44805521,0.00043906
9.45205561,0.00041563
9.45605601,0.00043516
9.46005641,0.00042266
9.46405681,0.00040313
9.46805721,0.00040313
9.47205761,0.00041172
9.47605801,0.00042656
9.48005841,0.00043125
9.48405881,0.00043359
9.48805921,0.00041641
9.49205961,0.00041563
9.49606001,0.00041094
9.50006041,0.00041797
9.50406081,0.00041641
9.50806121,0.00038828
9.51206161,0.00040938
9.51606201,0.00035937
9.52006241,0.00034844
9.52406281,0.00032656
9.52806321,0.00030234
9.53206361,0.00028203
9.53606401,0.00023750
9.54006441,0.00017031
9.54406481,0.00010781
9.54806521,0.00008125
9.55206561,0.00001016
9.55606601,-0.00002734
9.56006641,-0.00008750
9.56406681,-0.00015312
9.56806721,-0.00020781
9.57206761,-0.00025859
9.57606801,-0.00030234
9.58006841,-0.00035937
9.58406881,-0.00038906
9.58806921,-0.00045391
9.59206961,-0.00051719
9.59607001,-0.00054141
9.60007041,-0.00059531
9.60407081,-0.00065469
