Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,2.376e-05,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
1.4040e-05,-0.00740625,-0.06375
1.4042e-05,-0.00853125,-0.0673438
1.4044e-05,-0.00878125,-0.069375
1.4046e-05,-0.0088125,-0.06625
1.4048e-05,-0.008625,-0.065
1.4050e-05,-0.0085,-0.0635937
1.4052e-05,-0.0095625,-0.0614063
1.4054e-05,-0.00878125,-0.064375
1.4056e-05,-0.00834375,-0.0646875
1.4058e-05,-0.0084375,-0.0635937
1.4060e-05,-0.00846875,-0.0685938
1.4062e-05,-0.00865625,-0.0659375
1.4064e-05,-0.00940625,-0.0645312
1.4066e-05,-0.00890625,-0.0664062
1.4068e-05,-0.00821875,-0.0623438
1.4070e-05,-0.00925,-0.0684375
1.4072e-05,-0.00871875,-0.0675
1.4074e-05,-0.0089375,-0.063125
1.4076e-05,-0.008625,-0.061875
1.4078e-05,-0.00846875,-0.0635937
1.4080e-05,-0.00834375,-0.065625
1.4082e-05,-0.0091875,-0.0614063
1.4084e-05,-0.00878125,-0.0654687
1.4086e-05,-0.0083125,-0.0621875
1.4088e-05,-0.0091875,-0.06375
1.4090e-05,-0.00878125,-0.0660937
1.4092e-05,-0.0085,-0.0645312
1.4094e-05,-0.00859375,-0.06875
1.4096e-05,-0.00859375,-0.0634375
1.4098e-05,-0.008875,-0.065625
1.4100e-05,-0.00875,-0.0660937
1.4102e-05,-0.00871875,-0.0660937
1.4104e-05,-0.0076875,-0.063125
1.4106e-05,-0.0081875,-0.0684375
1.4108e-05,-0.0089375,-0.0692188
1.4110e-05,-0.00871875,-0.0640625
1.4112e-05,-0.00871875,-0.0667188
1.4114e-05,-0.00890625,-0.0620312
1.4116e-05,-0.00953125,-0.0629688
1.4118e-05,-0.0090625,-0.0676563
