Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,2.768e-05,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
8.2840e-06,-0.00453125,3.45063
8.2880e-06,-0.004875,3.45219
8.2920e-06,-0.0048125,3.45016
8.2960e-06,-0.00434375,3.45172
8.3000e-06,-0.0053125,3.44797
8.3040e-06,-0.00451562,3.45063
8.3080e-06,-0.00492188,3.44734
8.3120e-06,-0.00453125,3.45234
8.3160e-06,-0.00435938,3.45453
8.3200e-06,-0.00503125,3.44937
8.3240e-06,-0.00476562,3.44953
8.3280e-06,-0.004625,3.45031
8.3320e-06,-0.00525,3.45219
8.3360e-06,-0.00482812,3.44922
8.3400e-06,-0.00451562,3.45047
8.3440e-06,-0.0041875,3.45047
8.3480e-06,-0.00492188,3.44625
8.3520e-06,-0.00459375,3.45125
8.3560e-06,-0.00485937,3.44984
8.3600e-06,-0.00489063,3.44875
8.3640e-06,-0.004625,3.44906
8.3680e-06,-0.00478125,3.45469
8.3720e-06,-0.0046875,3.45078
8.3760e-06,-0.00470312,3.44594
8.3800e-06,-0.00453125,3.45156
8.3840e-06,-0.00470312,3.44906
8.3880e-06,-0.00482812,3.45109
8.3920e-06,-0.005125,3.45094
8.3960e-06,-0.004625,3.45063
8.4000e-06,-0.00445313,3.4525
8.4040e-06,-0.00532813,3.45312
8.4080e-06,-0.00495313,3.45156
8.4120e-06,-0.004625,3.44906
8.4160e-06,-0.00523438,3.4475
8.4200e-06,-0.0045625,3.44984
8.4240e-06,-0.00445313,3.45422
8.4280e-06,-0.00495313,3.44719
8.4320e-06,-0.00479687,3.44969
8.4360e-06,-0.00496875,3.45063
8.4400e-06,-0.00464062,3.45078
8.4440e-06,-0.0045625,3.45172
8.4480e-06,-0.00501563,3.44828
8.4520e-06,-0.00451562,3.45094
8.4560e-06,-0.0048125,3.45266
8.4600e-06,-0.0049375,3.45312
8.4640e-06,-0.00501563,3.45016
8.4680e-06,-0.00451562,3.44766
8.4720e-06,-0.00459375,3.45266
8.4760e-06,-0.00476562,3.44406
8.4800e-06,-0.00496875,3.45219
8.4840e-06,-0.00473437,3.44891
8.4880e-06,-0.00479687,3.44953
8.4920e-06,-0.00470312,3.44734
8.4960e-06,-0.00434375,3.45344
8.5000e-06,-0.00475,3.44953
8.5040e-06,-0.00475,3.44891
8.5080e-06,-0.0046875,3.45031
8.5120e-06,-0.00484375,3.44891
8.5160e-06,-0.00484375,3.45063
8.5200e-06,-0.00510938,3.45203
8.5240e-06,-0.00489063,3.44953
8.5280e-06,-0.00432813,3.44937
8.5320e-06,-0.00517188,3.45359
8.5360e-06,-0.00492188,3.45016
8.5400e-06,-0.00459375,3.44875
8.5440e-06,-0.00517188,3.44766
8.5480e-06,-0.00507813,3.45078
8.5520e-06,-0.0044375,3.45297
8.5560e-06,-0.00504688,3.44562
8.5600e-06,-0.00465625,3.45078
8.5640e-06,-0.00476562,3.44766
8.5680e-06,-0.00473437,3.45203
8.5720e-06,-0.00464062,3.4525
8.5760e-06,-0.0046875,3.44922
8.5800e-06,-0.00465625,3.44891
8.5840e-06,-0.0049375,3.45016
8.5880e-06,-0.00473437,3.45344
8.5920e-06,-0.00503125,3.44891
8.5960e-06,-0.0046875,3.44719
8.6000e-06,-0.00439063,3.44781
8.6040e-06,-0.00479687,3.44688
8.6080e-06,-0.00495313,3.44969
8.6120e-06,-0.004875,3.44891
8.6160e-06,-0.00503125,3.44578
