Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,8e-07,
Horizontal Delay,1.3396e-05,
Sample Interval,8e-10,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.01,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
9.39600e-06,-0.00179688,3.45016
9.39680e-06,-0.00180938,3.44922
9.39760e-06,-0.00182813,3.4525
9.39840e-06,-0.00182344,3.45453
9.39920e-06,-0.00182344,3.45078
9.40000e-06,-0.00179844,3.44531
9.40080e-06,-0.00182188,3.44937
9.40160e-06,-0.00181719,3.44797
9.40240e-06,-0.00180469,3.45375
9.40320e-06,-0.001775,3.44813
9.40400e-06,-0.00179844,3.44688
9.40480e-06,-0.0017875,3.45047
9.40560e-06,-0.00178125,3.45516
9.40640e-06,-0.00174844,3.44859
9.40720e-06,-0.00176719,3.44813
9.40800e-06,-0.00178594,3.44937
9.40880e-06,-0.00178594,3.45109
9.40960e-06,-0.00175781,3.45063
9.41040e-06,-0.00177656,3.45078
9.41120e-06,-0.00171094,3.45047
9.41200e-06,-0.00170938,3.44906
9.41280e-06,-0.00177969,3.45156
9.41360e-06,-0.00177188,3.44969
9.41440e-06,-0.00174844,3.45
9.41520e-06,-0.00176719,3.44969
9.41600e-06,-0.00172344,3.45016
9.41680e-06,-0.00174062,3.45141
9.41760e-06,-0.00177656,3.44766
9.41840e-06,-0.00175156,3.44906
9.41920e-06,-0.00174219,3.44875
9.42000e-06,-0.00176875,3.45266
9.42080e-06,-0.00176719,3.45094
9.42160e-06,-0.00178125,3.45047
9.42240e-06,-0.001775,3.44875
9.42320e-06,-0.00179844,3.45031
9.42400e-06,-0.00178906,3.45203
9.42480e-06,-0.00177969,3.45016
9.42560e-06,-0.00178281,3.44562
9.42640e-06,-0.00177969,3.44844
9.42720e-06,-0.00177188,3.44594
9.42800e-06,-0.00179375,3.44969
9.42880e-06,-0.00176094,3.44875
9.42960e-06,-0.00179219,3.45
9.43040e-06,-0.00177813,3.44766
9.43120e-06,-0.00178594,3.45609
9.43200e-06,-0.00176406,3.45063
9.43280e-06,-0.00176094,3.44594
9.43360e-06,-0.00178281,3.44953
9.43440e-06,-0.00177969,3.45188
9.43520e-06,-0.00178281,3.44953
9.43600e-06,-0.00176875,3.45219
9.43680e-06,-0.00178125,3.45
9.43760e-06,-0.00175781,3.44891
9.43840e-06,-0.00179844,3.45312
9.43920e-06,-0.00177969,3.44891
9.44000e-06,-0.00174219,3.45063
9.44080e-06,-0.00178438,3.44828
9.44160e-06,-0.00178906,3.45094
9.44240e-06,-0.00175313,3.45344
9.44320e-06,-0.00177344,3.44953
9.44400e-06,-0.00179688,3.45031
9.44480e-06,-0.00175469,3.44813
9.44560e-06,-0.00176875,3.45125
9.44640e-06,-0.00174062,3.45266
9.44720e-06,-0.00175781,3.44984
9.44800e-06,-0.00175313,3.44828
9.44880e-06,-0.00177188,3.44969
9.44960e-06,-0.001775,3.45469
9.45040e-06,-0.00176719,3.45016
9.45120e-06,-0.00173281,3.44656
