# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# microseconds,volts
9.86880000e+00,-2.79687000e-03
9.86960008e+00,-2.73438000e-03
9.87040016e+00,-2.67188000e-03
9.87120024e+00,-2.60156000e-03
9.87200032e+00,-2.58594000e-03
9.87280040e+00,-2.64844000e-03
9.87360048e+00,-2.64844000e-03
9.87440056e+00,-2.54688000e-03
9.87520064e+00,-2.84375000e-03
9.87600072e+00,-2.54688000e-03
9.87680080e+00,-2.75781000e-03
9.87760088e+00,-2.57813000e-03
9.87840096e+00,-2.53906000e-03
9.87920104e+00,-2.64844000e-03
9.88000112e+00,-2.68750000e-03
9.88080120e+00,-2.64063000e-03
9.88160128e+00,-2.91406000e-03
9.88240136e+00,-2.67188000e-03
9.88320144e+00,-2.82812000e-03
9.88400152e+00,-2.46875000e-03
9.88480160e+00,-2.51563000e-03
9.88560168e+00,-2.82812000e-03
9.88640176e+00,-2.70313000e-03
9.88720184e+00,-2.67188000e-03
9.88800192e+00,-2.65625000e-03
9.88880200e+00,-2.65625000e-03
9.88960208e+00,-2.49219000e-03
9.89040216e+00,-2.75000000e-03
9.89120224e+00,-2.60938000e-03
9.89200232e+00,-2.65625000e-03
9.89280240e+00,-2.40625000e-03
9.89360248e+00,-2.62500000e-03
9.89440256e+00,-2.70313000e-03
9.89520264e+00,-2.63281000e-03
9.89600272e+00,-2.64063000e-03
9.89680280e+00,-2.62500000e-03
9.89760288e+00,-2.65625000e-03
9.89840296e+00,-2.47656000e-03
9.89920304e+00,-2.55469000e-03
9.90000312e+00,-2.47656000e-03
9.90080320e+00,-2.70313000e-03
9.90160328e+00,-2.49219000e-03
9.90240336e+00,-2.80469000e-03
9.90320344e+00,-2.66406000e-03
9.90400352e+00,-2.63281000e-03
9.90480360e+00,-2.75000000e-03
9.90560368e+00,-2.73438000e-03
9.90640376e+00,-2.65625000e-03
9.90720384e+00,-2.80469000e-03
9.90800392e+00,-2.82812000e-03
9.90880400e+00,-2.91406000e-03
9.90960408e+00,-2.68750000e-03
9.91040416e+00,-2.57031000e-03
9.91120424e+00,-2.90625000e-03
9.91200432e+00,-2.83594000e-03
9.91280440e+00,-2.76562000e-03
9.91360448e+00,-2.83594000e-03
9.91440456e+00,-2.74219000e-03
9.91520464e+00,-2.50781000e-03
9.91600472e+00,-2.72656000e-03
9.91680480e+00,-2.67188000e-03
9.91760488e+00,-2.55469000e-03
9.91840496e+00,-2.57031000e-03
9.91920504e+00,-2.67969000e-03
9.92000512e+00,-2.76562000e-03
9.92080520e+00,-2.62500000e-03
9.92160528e+00,-2.55469000e-03
9.92240536e+00,-2.66406000e-03
9.92320544e+00,-2.71094000e-03
9.92400552e+00,-2.38281000e-03
9.92480560e+00,-2.32031000e-03
9.92560568e+00,-2.52344000e-03
9.92640576e+00,-2.66406000e-03
9.92720584e+00,-2.60156000e-03
9.92800592e+00,-2.74219000e-03
9.92880600e+00,-2.60938000e-03
9.92960608e+00,-2.68750000e-03
9.93040616e+00,-2.69531000e-03
9.93120624e+00,-2.78125000e-03
9.93200632e+00,-2.73438000e-03
9.93280640e+00,-2.75781000e-03
9.93360648e+00,-2.78125000e-03
9.93440656e+00,-2.75781000e-03
9.93520664e+00,-2.57031000e-03
9.93600672e+00,-2.40625000e-03
9.93680680e+00,-2.83594000e-03
9.93760688e+00,-2.82031000e-03
9.93840696e+00,-2.75000000e-03
9.93920704e+00,-2.88281000e-03
9.94000712e+00,-2.89062000e-03
9.94080720e+00,-2.64844000e-03
9.94160728e+00,-2.78906000e-03
9.94240736e+00,-2.85156000e-03
9.94320744e+00,-2.67969000e-03
9.94400752e+00,-2.63281000e-03
9.94480760e+00,-2.54688000e-03
9.94560768e+00,-2.71875000e-03
9.94640776e+00,-2.76562000e-03
9.94720784e+00,-2.62500000e-03
9.94800792e+00,-2.68750000e-03
9.94880800e+00,-2.68750000e-03
9.94960808e+00,-2.58594000e-03
9.95040816e+00,-2.40625000e-03
9.95120824e+00,-2.46875000e-03
9.95200832e+00,-2.72656000e-03
9.95280840e+00,-2.48438000e-03
9.95360848e+00,-2.75000000e-03
9.95440856e+00,-2.56250000e-03
9.95520864e+00,-2.76562000e-03
9.95600872e+00,-2.58594000e-03
9.95680880e+00,-2.78906000e-03
9.95760888e+00,-2.77344000e-03
9.95840896e+00,-2.92969000e-03
9.95920904e+00,-2.80469000e-03
9.96000912e+00,-2.78125000e-03
9.96080920e+00,-2.64844000e-03
9.96160928e+00,-2.52344000e-03
9.96240936e+00,-2.89844000e-03
9.96320944e+00,-2.75781000e-03
9.96400952e+00,-2.71875000e-03
9.96480960e+00,-2.89844000e-03
9.96560968e+00,-2.83594000e-03
9.96640976e+00,-2.61719000e-03
9.96720984e+00,-2.85156000e-03
9.96800992e+00,-2.77344000e-03
9.96881000e+00,-2.72656000e-03
9.96961008e+00,-2.67969000e-03
9.97041016e+00,-2.67188000e-03
9.97121024e+00,-2.60156000e-03
9.97201032e+00,-2.65625000e-03
9.97281040e+00,-2.57031000e-03
9.97361048e+00,-2.67188000e-03
9.97441056e+00,-2.62500000e-03
9.97521064e+00,-2.50000000e-03
9.97601072e+00,-2.73438000e-03
9.97681080e+00,-2.64063000e-03
9.97761088e+00,-2.82031000e-03
9.97841096e+00,-2.60938000e-03
9.97921104e+00,-2.65625000e-03
9.98001112e+00,-2.63281000e-03
9.98081120e+00,-2.44531000e-03
9.98161128e+00,-2.58594000e-03
9.98241136e+00,-2.62500000e-03
9.98321144e+00,-2.67188000e-03
9.98401152e+00,-2.71875000e-03
9.98481160e+00,-2.72656000e-03
9.98561168e+00,-2.73438000e-03
9.98641176e+00,-2.60938000e-03
9.98721184e+00,-2.38281000e-03
9.98801192e+00,-2.78906000e-03
9.98881200e+00,-2.56250000e-03
9.98961208e+00,-2.36719000e-03
9.99041216e+00,-2.67969000e-03
9.99121224e+00,-2.68750000e-03
9.99201232e+00,-2.46875000e-03
9.99281240e+00,-2.71875000e-03
9.99361248e+00,-2.63281000e-03
9.99441256e+00,-2.53125000e-03
9.99521264e+00,-2.53906000e-03
9.99601272e+00,-2.42969000e-03
9.99681280e+00,-2.46875000e-03
9.99761288e+00,-2.69531000e-03
9.99841296e+00,-2.50781000e-03
9.99921304e+00,-2.40625000e-03
1.00000131e+01,-2.60156000e-03
1.00008132e+01,-2.42969000e-03
1.00016133e+01,-2.43750000e-03
1.00024134e+01,-2.51563000e-03
1.00032134e+01,-2.57813000e-03
1.00040135e+01,-2.49219000e-03
1.00048136e+01,-2.62500000e-03
1.00056137e+01,-2.42969000e-03
1.00064138e+01,-2.39844000e-03
1.00072138e+01,-2.48438000e-03
1.00080139e+01,-2.53125000e-03
1.00088140e+01,-2.37500000e-03
1.00096141e+01,-2.49219000e-03
1.00104142e+01,-2.42969000e-03
1.00112142e+01,-2.53906000e-03
1.00120143e+01,-2.57031000e-03
1.00128144e+01,-2.19531000e-03
1.00136145e+01,-2.76562000e-03
1.00144146e+01,-2.57031000e-03
1.00152146e+01,-2.36719000e-03
1.00160147e+01,-2.66406000e-03
1.00168148e+01,-2.60156000e-03
1.00176149e+01,-2.42187000e-03
1.00184150e+01,-2.64844000e-03
1.00192150e+01,-2.62500000e-03
1.00200151e+01,-2.54688000e-03
1.00208152e+01,-2.50781000e-03
1.00216153e+01,-2.55469000e-03
1.00224154e+01,-2.64063000e-03
1.00232154e+01,-2.47656000e-03
1.00240155e+01,-2.53906000e-03
1.00248156e+01,-2.60938000e-03
1.00256157e+01,-2.51563000e-03
1.00264158e+01,-2.25000000e-03
1.00272158e+01,-2.41406000e-03
1.00280159e+01,-2.57031000e-03
1.00288160e+01,-2.76562000e-03
1.00296161e+01,-2.55469000e-03
1.00304162e+01,-2.67969000e-03
1.00312162e+01,-2.40625000e-03
1.00320163e+01,-2.46875000e-03
1.00328164e+01,-2.47656000e-03
1.00336165e+01,-2.60938000e-03
1.00344166e+01,-2.51563000e-03
1.00352166e+01,-2.47656000e-03
1.00360167e+01,-2.57031000e-03
1.00368168e+01,-2.69531000e-03
1.00376169e+01,-2.62500000e-03
1.00384170e+01,-2.31250000e-03
1.00392170e+01,-2.72656000e-03
1.00400171e+01,-2.65625000e-03
1.00408172e+01,-2.35937000e-03
1.00416173e+01,-2.72656000e-03
1.00424174e+01,-2.64063000e-03
1.00432174e+01,-2.33594000e-03
1.00440175e+01,-2.64844000e-03
