Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,1.928e-05,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
-1.9200e-07,-0.0259375,-0.0490625
-1.8800e-07,-0.02375,-0.045625
-1.8400e-07,-0.0259375,-0.0448438
-1.8000e-07,-0.0253906,-0.0482813
-1.7600e-07,-0.0266406,-0.0464062
-1.7200e-07,-0.0258594,-0.0507812
-1.6800e-07,-0.0255469,-0.0485938
-1.6400e-07,-0.0246875,-0.048125
-1.6000e-07,-0.0245313,-0.045
-1.5600e-07,-0.0258594,-0.04625
-1.5200e-07,-0.0275781,-0.0490625
-1.4800e-07,-0.0264844,-0.0476563
-1.4400e-07,-0.0267187,-0.0507812
-1.4000e-07,-0.0271875,-0.0490625
-1.3600e-07,-0.0274219,-0.0526563
-1.3200e-07,-0.0253906,-0.0473438
-1.2800e-07,-0.0241406,-0.0421875
-1.2400e-07,-0.0273438,-0.0514062
-1.2000e-07,-0.0271875,-0.0498437
-1.1600e-07,-0.0244531,-0.0460937
-1.1200e-07,-0.0264844,-0.051875
-1.0800e-07,-0.0261719,-0.0484375
-1.0400e-07,-0.0239063,-0.0432813
-1.0000e-07,-0.0274219,-0.0525
-9.6000e-08,-0.0263281,-0.0492188
-9.2000e-08,-0.02625,-0.0510938
-8.8000e-08,-0.0252344,-0.0464062
-8.4000e-08,-0.0250781,-0.0489062
-8.0000e-08,-0.0267969,-0.0498437
-7.6000e-08,-0.024375,-0.0471875
-7.2000e-08,-0.0260156,-0.0498437
-6.8000e-08,-0.0260937,-0.0489062
-6.4000e-08,-0.0253125,-0.0495313
-6.0000e-08,-0.0239844,-0.0457813
-5.6000e-08,-0.0248438,-0.0432813
-5.2000e-08,-0.0260156,-0.0482813
-4.8000e-08,-0.0271875,-0.0485938
-4.4000e-08,-0.0251563,-0.0492188
-4.0000e-08,-0.0266406,-0.049375
-3.6000e-08,-0.0255469,-0.0496875
-3.2000e-08,-0.0247656,-0.0471875
-2.8000e-08,-0.0257813,-0.0492188
-2.4000e-08,-0.0275,-0.0478125
-2.0000e-08,-0.0254688,-0.0482813
-1.6000e-08,-0.0261719,-0.045625
-1.2000e-08,-0.0251563,-0.0339063
-8.0000e-09,-0.0272656,-0.00796875
-4.0000e-09,-0.0249219,0.3
-0.0000e+00,-0.0241406,3.07766
4.0000e-09,-0.0276563,3.44813
8.0000e-09,-0.0260937,3.43172
1.2000e-08,-0.0257031,3.44844
1.6000e-08,-0.0263281,3.46328
2.0000e-08,-0.0270312,3.46188
2.4000e-08,-0.0246094,3.46094
2.8000e-08,-0.0271094,3.46063
3.2000e-08,-0.0274219,3.45688
3.6000e-08,-0.0260937,3.45531
4.0000e-08,-0.0255469,3.45266
4.4000e-08,-0.025,3.45141
4.8000e-08,-0.0259375,3.45031
5.2000e-08,-0.0271094,3.44297
5.6000e-08,-0.0269531,3.44953
6.0000e-08,-0.0251563,3.44141
6.4000e-08,-0.0253125,3.44156
6.8000e-08,-0.0233594,3.43672
7.2000e-08,-0.0215625,3.44203
7.6000e-08,-0.0201563,3.43906
8.0000e-08,-0.0196875,3.43594
8.4000e-08,-0.0219531,3.43359
8.8000e-08,-0.025625,3.43266
9.2000e-08,-0.0267187,3.43297
9.6000e-08,-0.0242188,3.43531
1.0000e-07,-0.02125,3.43063
1.0400e-07,-0.0221094,3.4275
1.0800e-07,-0.0234375,3.42984
1.1200e-07,-0.0274219,3.42953
1.1600e-07,-0.0267969,3.42844
1.2000e-07,-0.0288281,3.42687
1.2400e-07,-0.0271094,3.42938
1.2800e-07,-0.0258594,3.42891
1.3200e-07,-0.0282031,3.42344
1.3600e-07,-0.0259375,3.42453
1.4000e-07,-0.0267187,3.42469
1.4400e-07,-0.0273438,3.42203
1.4800e-07,-0.0285938,3.42344
1.5200e-07,-0.0271875,3.42797
1.5600e-07,-0.0285156,3.42406
1.6000e-07,-0.0283594,3.42312
1.6400e-07,-0.0267187,3.42125
1.6800e-07,-0.0257031,3.42047
1.7200e-07,-0.0260156,3.41984
1.7600e-07,-0.0275781,3.42094
1.8000e-07,-0.0269531,3.42203
1.8400e-07,-0.0283594,3.41984
1.8800e-07,-0.0271094,3.41953
1.9200e-07,-0.0272656,3.41938
1.9600e-07,-0.0253125,3.41969
2.0000e-07,-0.0266406,3.42063
2.0400e-07,-0.0253906,3.41922
2.0800e-07,-0.0264844,3.41938
2.1200e-07,-0.0258594,3.41875
2.1600e-07,-0.0270312,3.41922
2.2000e-07,-0.0271094,3.41906
2.2400e-07,-0.0267187,3.42063
2.2800e-07,-0.0260156,3.42156
2.3200e-07,-0.0272656,3.41906
2.3600e-07,-0.0253906,3.41719
2.4000e-07,-0.0239844,3.41875
2.4400e-07,-0.0248438,3.42
2.4800e-07,-0.0274219,3.42047
2.5200e-07,-0.0271094,3.41719
2.5600e-07,-0.0246875,3.41797
2.6000e-07,-0.0279688,3.41844
2.6400e-07,-0.0260937,3.41875
2.6800e-07,-0.0242188,3.41703
2.7200e-07,-0.0263281,3.42078
2.7600e-07,-0.0271094,3.41828
2.8000e-07,-0.0233594,3.41891
2.8400e-07,-0.0264844,3.41375
2.8800e-07,-0.0245313,3.41938
2.9200e-07,-0.0267187,3.41766
2.9600e-07,-0.0240625,3.41734
3.0000e-07,-0.0241406,3.41969
3.0400e-07,-0.0257031,3.41484
3.0800e-07,-0.025625,3.42031
3.1200e-07,-0.0246875,3.41875
3.1600e-07,-0.0247656,3.41859
3.2000e-07,-0.02625,3.41906
3.2400e-07,-0.024375,3.41656
3.2800e-07,-0.0251563,3.41938
3.3200e-07,-0.0253906,3.42
3.3600e-07,-0.0274219,3.41859
3.4000e-07,-0.0251563,3.41781
3.4400e-07,-0.0271875,3.41922
3.4800e-07,-0.0270312,3.42031
