# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# microseconds,volts
1.00888000e+01,-2.80469000e-03
1.00896001e+01,-2.75781000e-03
1.00904002e+01,-2.86719000e-03
1.00912002e+01,-2.67969000e-03
1.00920003e+01,-2.94531000e-03
1.00928004e+01,-2.74219000e-03
1.00936005e+01,-2.82812000e-03
1.00944006e+01,-2.74219000e-03
1.00952006e+01,-2.92187000e-03
1.00960007e+01,-2.72656000e-03
1.00968008e+01,-2.93750000e-03
1.00976009e+01,-2.75000000e-03
1.00984010e+01,-2.85937000e-03
1.00992010e+01,-2.77344000e-03
1.01000011e+01,-2.75000000e-03
1.01008012e+01,-2.91406000e-03
1.01016013e+01,-2.92969000e-03
1.01024014e+01,-2.82812000e-03
1.01032014e+01,-2.92187000e-03
1.01040015e+01,-2.72656000e-03
1.01048016e+01,-2.75781000e-03
1.01056017e+01,-2.97656000e-03
1.01064018e+01,-2.77344000e-03
1.01072018e+01,-2.89062000e-03
1.01080019e+01,-2.89844000e-03
1.01088020e+01,-2.84375000e-03
1.01096021e+01,-2.78906000e-03
1.01104022e+01,-2.90625000e-03
1.01112022e+01,-2.89062000e-03
1.01120023e+01,-2.86719000e-03
1.01128024e+01,-2.83594000e-03
1.01136025e+01,-2.85937000e-03
1.01144026e+01,-2.88281000e-03
1.01152026e+01,-2.70313000e-03
1.01160027e+01,-2.89844000e-03
1.01168028e+01,-2.80469000e-03
1.01176029e+01,-2.90625000e-03
1.01184030e+01,-2.78125000e-03
1.01192030e+01,-2.82812000e-03
1.01200031e+01,-2.79687000e-03
1.01208032e+01,-2.92969000e-03
1.01216033e+01,-2.64844000e-03
1.01224034e+01,-2.92969000e-03
1.01232034e+01,-2.84375000e-03
1.01240035e+01,-2.83594000e-03
1.01248036e+01,-2.74219000e-03
1.01256037e+01,-2.80469000e-03
1.01264038e+01,-2.78125000e-03
1.01272038e+01,-2.89062000e-03
1.01280039e+01,-2.83594000e-03
1.01288040e+01,-2.89062000e-03
1.01296041e+01,-2.69531000e-03
1.01304042e+01,-2.64063000e-03
1.01312042e+01,-2.89062000e-03
1.01320043e+01,-2.79687000e-03
1.01328044e+01,-2.75781000e-03
1.01336045e+01,-2.94531000e-03
1.01344046e+01,-2.81250000e-03
1.01352046e+01,-2.76562000e-03
1.01360047e+01,-2.85937000e-03
1.01368048e+01,-2.82812000e-03
1.01376049e+01,-2.77344000e-03
1.01384050e+01,-2.75781000e-03
1.01392050e+01,-2.81250000e-03
1.01400051e+01,-2.84375000e-03
1.01408052e+01,-2.71094000e-03
1.01416053e+01,-2.85937000e-03
1.01424054e+01,-2.71094000e-03
1.01432054e+01,-2.88281000e-03
1.01440055e+01,-2.68750000e-03
1.01448056e+01,-2.81250000e-03
1.01456057e+01,-2.64844000e-03
1.01464058e+01,-2.89844000e-03
1.01472058e+01,-2.81250000e-03
1.01480059e+01,-2.85937000e-03
1.01488060e+01,-2.75000000e-03
1.01496061e+01,-2.75000000e-03
1.01504062e+01,-2.70313000e-03
1.01512062e+01,-2.82031000e-03
1.01520063e+01,-2.83594000e-03
1.01528064e+01,-2.95313000e-03
1.01536065e+01,-2.80469000e-03
1.01544066e+01,-2.82812000e-03
1.01552066e+01,-2.77344000e-03
1.01560067e+01,-2.67969000e-03
1.01568068e+01,-2.95313000e-03
1.01576069e+01,-2.71094000e-03
1.01584070e+01,-2.72656000e-03
1.01592070e+01,-2.94531000e-03
1.01600071e+01,-2.84375000e-03
1.01608072e+01,-2.67188000e-03
1.01616073e+01,-2.81250000e-03
1.01624074e+01,-2.76562000e-03
1.01632074e+01,-2.81250000e-03
1.01640075e+01,-2.76562000e-03
1.01648076e+01,-2.78125000e-03
1.01656077e+01,-2.84375000e-03
1.01664078e+01,-2.70313000e-03
1.01672078e+01,-2.69531000e-03
1.01680079e+01,-2.67188000e-03
1.01688080e+01,-2.80469000e-03
1.01696081e+01,-2.67188000e-03
1.01704082e+01,-2.82031000e-03
1.01712082e+01,-2.67188000e-03
1.01720083e+01,-2.82812000e-03
1.01728084e+01,-2.70313000e-03
1.01736085e+01,-2.88281000e-03
1.01744086e+01,-2.71875000e-03
1.01752086e+01,-2.84375000e-03
1.01760087e+01,-2.74219000e-03
1.01768088e+01,-2.81250000e-03
1.01776089e+01,-2.82812000e-03
1.01784090e+01,-2.92187000e-03
1.01792090e+01,-2.72656000e-03
1.01800091e+01,-2.82031000e-03
1.01808092e+01,-2.67969000e-03
1.01816093e+01,-2.56250000e-03
1.01824094e+01,-2.82031000e-03
1.01832094e+01,-2.85937000e-03
1.01840095e+01,-2.72656000e-03
1.01848096e+01,-2.79687000e-03
1.01856097e+01,-2.71875000e-03
1.01864098e+01,-2.63281000e-03
1.01872098e+01,-2.78125000e-03
1.01880099e+01,-2.82031000e-03
1.01888100e+01,-2.74219000e-03
1.01896101e+01,-2.65625000e-03
1.01904102e+01,-2.75000000e-03
1.01912102e+01,-2.76562000e-03
1.01920103e+01,-2.73438000e-03
1.01928104e+01,-2.68750000e-03
1.01936105e+01,-2.68750000e-03
1.01944106e+01,-2.79687000e-03
1.01952106e+01,-2.68750000e-03
1.01960107e+01,-2.79687000e-03
1.01968108e+01,-2.68750000e-03
1.01976109e+01,-2.90625000e-03
1.01984110e+01,-2.68750000e-03
1.01992110e+01,-2.80469000e-03
1.02000111e+01,-2.82031000e-03
1.02008112e+01,-2.81250000e-03
1.02016113e+01,-2.68750000e-03
1.02024114e+01,-2.82031000e-03
1.02032114e+01,-2.65625000e-03
1.02040115e+01,-2.89844000e-03
1.02048116e+01,-2.77344000e-03
1.02056117e+01,-2.84375000e-03
1.02064118e+01,-2.57031000e-03
1.02072118e+01,-2.56250000e-03
1.02080119e+01,-2.84375000e-03
1.02088120e+01,-2.68750000e-03
1.02096121e+01,-2.68750000e-03
1.02104122e+01,-2.84375000e-03
1.02112122e+01,-2.88281000e-03
1.02120123e+01,-2.71094000e-03
1.02128124e+01,-2.77344000e-03
1.02136125e+01,-2.84375000e-03
1.02144126e+01,-2.75000000e-03
1.02152126e+01,-2.83594000e-03
1.02160127e+01,-2.72656000e-03
1.02168128e+01,-2.71875000e-03
1.02176129e+01,-2.74219000e-03
1.02184130e+01,-2.76562000e-03
1.02192130e+01,-2.66406000e-03
1.02200131e+01,-2.78125000e-03
1.02208132e+01,-2.57031000e-03
1.02216133e+01,-2.83594000e-03
1.02224134e+01,-2.76562000e-03
1.02232134e+01,-2.88281000e-03
1.02240135e+01,-2.70313000e-03
1.02248136e+01,-2.87500000e-03
1.02256137e+01,-2.76562000e-03
1.02264138e+01,-2.77344000e-03
1.02272138e+01,-2.72656000e-03
1.02280139e+01,-2.75781000e-03
1.02288140e+01,-2.77344000e-03
1.02296141e+01,-2.88281000e-03
1.02304142e+01,-2.77344000e-03
1.02312142e+01,-2.76562000e-03
1.02320143e+01,-2.72656000e-03
1.02328144e+01,-2.56250000e-03
1.02336145e+01,-2.89062000e-03
1.02344146e+01,-2.68750000e-03
1.02352146e+01,-2.72656000e-03
1.02360147e+01,-2.86719000e-03
1.02368148e+01,-2.94531000e-03
1.02376149e+01,-2.63281000e-03
1.02384150e+01,-2.77344000e-03
1.02392150e+01,-2.82812000e-03
1.02400151e+01,-2.69531000e-03
1.02408152e+01,-2.75000000e-03
1.02416153e+01,-2.82031000e-03
1.02424154e+01,-2.73438000e-03
1.02432154e+01,-2.71875000e-03
1.02440155e+01,-2.78906000e-03
1.02448156e+01,-2.67969000e-03
1.02456157e+01,-2.77344000e-03
1.02464158e+01,-2.65625000e-03
1.02472158e+01,-2.80469000e-03
1.02480159e+01,-2.68750000e-03
1.02488160e+01,-2.89062000e-03
1.02496161e+01,-2.70313000e-03
1.02504162e+01,-2.82031000e-03
1.02512162e+01,-2.64063000e-03
1.02520163e+01,-2.62500000e-03
1.02528164e+01,-2.62500000e-03
1.02536165e+01,-2.75781000e-03
1.02544166e+01,-2.77344000e-03
1.02552166e+01,-2.83594000e-03
1.02560167e+01,-2.73438000e-03
1.02568168e+01,-2.79687000e-03
1.02576169e+01,-2.72656000e-03
1.02584170e+01,-2.52344000e-03
1.02592170e+01,-2.91406000e-03
1.02600171e+01,-2.77344000e-03
1.02608172e+01,-2.75000000e-03
1.02616173e+01,-2.96094000e-03
1.02624174e+01,-2.92969000e-03
1.02632174e+01,-2.57813000e-03
1.02640175e+01,-2.74219000e-03
1.02648176e+01,-2.78906000e-03
1.02656177e+01,-2.64063000e-03
1.02664178e+01,-2.67969000e-03
1.02672178e+01,-2.71094000e-03
1.02680179e+01,-2.73438000e-03
1.02688180e+01,-2.70313000e-03
1.02696181e+01,-2.83594000e-03
1.02704182e+01,-2.64844000e-03
1.02712182e+01,-2.68750000e-03
1.02720183e+01,-2.62500000e-03
1.02728184e+01,-2.88281000e-03
1.02736185e+01,-2.75781000e-03
1.02744186e+01,-2.90625000e-03
1.02752186e+01,-2.71875000e-03
1.02760187e+01,-2.86719000e-03
1.02768188e+01,-2.65625000e-03
1.02776189e+01,-2.82031000e-03
1.02784190e+01,-2.64063000e-03
1.02792190e+01,-2.81250000e-03
1.02800191e+01,-2.83594000e-03
1.02808192e+01,-2.89844000e-03
1.02816193e+01,-2.78906000e-03
1.02824194e+01,-2.80469000e-03
1.02832194e+01,-2.75000000e-03
1.02840195e+01,-2.60938000e-03
1.02848196e+01,-2.94531000e-03
1.02856197e+01,-2.71094000e-03
1.02864198e+01,-2.64063000e-03
1.02872198e+01,-2.86719000e-03
1.02880199e+01,-2.92969000e-03
1.02888200e+01,-2.67969000e-03
1.02896201e+01,-2.86719000e-03
1.02904202e+01,-2.82031000e-03
1.02912202e+01,-2.75781000e-03
1.02920203e+01,-2.64063000e-03
1.02928204e+01,-2.82812000e-03
1.02936205e+01,-2.80469000e-03
1.02944206e+01,-2.75000000e-03
1.02952206e+01,-2.81250000e-03
1.02960207e+01,-2.60938000e-03
1.02968208e+01,-2.90625000e-03
1.02976209e+01,-2.67188000e-03
1.02984210e+01,-2.85156000e-03
1.02992210e+01,-2.85156000e-03
1.03000211e+01,-2.97656000e-03
1.03008212e+01,-2.69531000e-03
1.03016213e+01,-2.87500000e-03
1.03024214e+01,-2.69531000e-03
1.03032214e+01,-2.76562000e-03
